time,priceUsd,variation,hodl,perf,str2
2018-12-31 20:00:00,3770.2243963297406330,0,1000,1000,1000
2019-01-01 20:00:00,3894.4233672899393751,0.03294206336394854,1032.9420633639486,1032.9420633639486,1032.9420633639486
2019-01-02 20:00:00,3874.4132460382786451,-0.005138147387808472,1027.6346547993176,1032.9420633639486,1027.6346547993176
2019-01-03 20:00:00,3838.0316557789585846,-0.00939021935683321,1017.9849399720683,1032.9420633639486,1027.6346547993176
2019-01-04 20:00:00,3889.7828238289400730,0.013483778324771985,1031.711223240608,1046.8700251686805,1027.6346547993176
2019-01-05 20:00:00,3937.1202957448938773,0.012169695342877056,1044.2668345092734,1059.6101144385734,1040.140655472008
2019-01-06 20:00:00,4062.8349302499749455,0.03193060538204766,1077.610906715549,1093.4441068615379,1073.3529762837088
2019-01-07 20:00:00,4045.4329986329852588,-0.004283199272365964,1072.9952844640113,1093.4441068615379,1068.7555915966987
2019-01-08 20:00:00,4041.0149156772955680,-0.0010921162103495067,1071.8234489202196,1093.4441068615379,1068.7555915966987
2019-01-09 20:00:00,3833.9358039185510406,-0.0512443324461318,1016.8985717801922,1093.4441068615379,1068.7555915966987
2019-01-10 20:00:00,3669.1568633940030800,-0.04297905571505187,973.1932314070947,1093.4441068615379,1068.7555915966987
2019-01-11 20:00:00,3657.6885373223492276,-0.0031256025562902594,970.1514161552443,1093.4441068615379,1068.7555915966987
2019-01-12 20:00:00,3624.3223617111002840,-0.009122202525115721,961.3014984570483,1093.4441068615379,1068.7555915966987
2019-01-13 20:00:00,3608.5778129477985202,-0.004344135866509536,957.1254741390717,1093.4441068615379,1068.7555915966987
2019-01-14 20:00:00,3661.6545553982002471,0.014708493262902331,971.2033477271983,1109.527022140671,1068.7555915966987
2019-01-15 20:00:00,3632.1299168921829476,-0.008063196038657036,963.3723447410739,1109.527022140671,1060.1380057442436
2019-01-16 20:00:00,3626.8317398304971019,-0.0014586970132993084,961.967076379105,1109.527022140671,1060.1380057442436
2019-01-17 20:00:00,3638.7542173110704680,0.00328729820841665,965.1293490258419,1113.174368332744,1060.1380057442436
2019-01-18 20:00:00,3703.3825879264664745,0.01776112558191805,982.2711325966848,1132.9455980832743,1078.9672499984313
2019-01-19 20:00:00,3641.8453712579348665,-0.016616489171048993,965.9492349588579,1132.9455980832743,1061.0386023729159
2019-01-20 20:00:00,3566.5422058733912721,-0.02067720007522811,945.9761093651001,1132.9455980832743,1061.0386023729159
2019-01-21 20:00:00,3580.5116186959886397,0.003916794479423947,949.6813033679284,1137.3831131473346,1061.0386023729159
2019-01-22 20:00:00,3601.3298842477803961,0.005814327048427127,955.2030610574861,1143.9962305465315,1067.2078278181182
2019-01-23 20:00:00,3585.7419001287914891,-0.00432839662569385,951.0685633511525,1143.9962305465315,1062.5885290572762
2019-01-24 20:00:00,3594.8870826743788063,0.002550429674053925,953.4941968371832,1146.9139124799233,1062.5885290572762
2019-01-25 20:00:00,3613.1399236543145810,0.005077444871051991,958.3355110564919,1152.7373046423827,1067.9837637341768
2019-01-26 20:00:00,3590.7747111244749462,-0.006189965792196571,952.403447025605,1152.7373046423827,1061.3729807700408
2019-01-27 20:00:00,3476.0723846452406410,-0.03194361543314825,921.9802375766143,1152.7373046423827,1061.3729807700408
2019-01-28 20:00:00,3426.6453709423703192,-0.014219213017888472,908.870404180229,1152.7373046423827,1061.3729807700408
2019-01-29 20:00:00,3458.6495584382165128,0.009339801476755822,917.3590733233711,1163.5036422225933,1061.3729807700408
2019-01-30 20:00:00,3462.7295427985473761,0.001179646648610797,918.4412328797897,1164.8761653947874,1062.625025849732
2019-01-31 20:00:00,3455.2242220897180414,-0.002167457959411905,916.4505501193323,1164.8761653947874,1060.321830779584
2019-02-01 20:00:00,3477.0369629049545976,0.006312974039654208,922.2360786508624,1172.2299983863365,1060.321830779584
2019-02-02 20:00:00,3476.1060207948036461,-0.0002677400672132526,921.9891591011778,1172.2299983863365,1060.0379401413434
2019-02-03 20:00:00,3457.9623988848403391,-0.005219524894069474,917.176813733187,1172.2299983863365,1060.0379401413434
2019-02-04 20:00:00,3459.1958195135397693,0.00035669000596922956,917.5039615363524,1172.6481211114583,1060.0379401413434
2019-02-05 20:00:00,3401.5059448205459545,-0.016677250350373787,902.202518272351,1172.6481211114583,1042.3594220327116
2019-02-06 20:00:00,3401.0455879723382017,-0.00013533912792625759,902.0804149703151,1172.6481211114583,1042.3594220327116
2019-02-07 20:00:00,3489.1396239614008976,0.02590204503597478,925.446142504947,1203.0221055558386,1042.3594220327116
2019-02-08 20:00:00,3646.2566602906028478,0.045030309263123895,967.1192685083098,1257.1945630193925,1089.2971891701757
2019-02-09 20:00:00,3644.2876376783358204,-0.0005400120714788424,966.5970124287555,1257.1945630193925,1088.7089555385958
2019-02-10 20:00:00,3636.1744951675716129,-0.0022262629400825306,964.4451133219909,1257.1945630193925,1088.7089555385958
2019-02-11 20:00:00,3612.7996739333940563,-0.0064284102056274585,958.2452645127443,1257.1945630193925,1088.7089555385958
2019-02-12 20:00:00,3622.6806428808959680,0.002734989437359027,960.8660551895858,1260.6329768699557,1088.7089555385958
2019-02-13 20:00:00,3601.3993779166557955,-0.005874452390955561,955.2214932942894,1260.6329768699557,1082.3133866116773
2019-02-14 20:00:00,3594.2496157090359741,-0.0019852733499820625,953.3251175203221,1260.6329768699557,1082.3133866116773
2019-02-15 20:00:00,3619.8836136181786253,0.007131947040379896,960.124181770741,1269.6237444983487,1082.3133866116773
