time,priceUsd
2018-12-31 20:00:00,3770.2243963297406330
2019-01-01 20:00:00,3894.4233672899393751
2019-01-02 20:00:00,3874.4132460382786451
2019-01-03 20:00:00,3838.0316557789585846
2019-01-04 20:00:00,3889.7828238289400730
2019-01-05 20:00:00,3937.1202957448938773
2019-01-06 20:00:00,4062.8349302499749455
2019-01-07 20:00:00,4045.4329986329852588
2019-01-08 20:00:00,4041.0149156772955680
2019-01-09 20:00:00,3833.9358039185510406
2019-01-10 20:00:00,3669.1568633940030800
2019-01-11 20:00:00,3657.6885373223492276
2019-01-12 20:00:00,3624.3223617111002840
2019-01-13 20:00:00,3608.5778129477985202
2019-01-14 20:00:00,3661.6545553982002471
2019-01-15 20:00:00,3632.1299168921829476
2019-01-16 20:00:00,3626.8317398304971019
2019-01-17 20:00:00,3638.7542173110704680
2019-01-18 20:00:00,3703.3825879264664745
2019-01-19 20:00:00,3641.8453712579348665
2019-01-20 20:00:00,3566.5422058733912721
2019-01-21 20:00:00,3580.5116186959886397
2019-01-22 20:00:00,3601.3298842477803961
2019-01-23 20:00:00,3585.7419001287914891
2019-01-24 20:00:00,3594.8870826743788063
2019-01-25 20:00:00,3613.1399236543145810
2019-01-26 20:00:00,3590.7747111244749462
2019-01-27 20:00:00,3476.0723846452406410
2019-01-28 20:00:00,3426.6453709423703192
2019-01-29 20:00:00,3458.6495584382165128
2019-01-30 20:00:00,3462.7295427985473761
2019-01-31 20:00:00,3455.2242220897180414
2019-02-01 20:00:00,3477.0369629049545976
2019-02-02 20:00:00,3476.1060207948036461
2019-02-03 20:00:00,3457.9623988848403391
2019-02-04 20:00:00,3459.1958195135397693
2019-02-05 20:00:00,3401.5059448205459545
2019-02-06 20:00:00,3401.0455879723382017
2019-02-07 20:00:00,3489.1396239614008976
2019-02-08 20:00:00,3646.2566602906028478
2019-02-09 20:00:00,3644.2876376783358204
2019-02-10 20:00:00,3636.1744951675716129
2019-02-11 20:00:00,3612.7996739333940563
2019-02-12 20:00:00,3622.6806428808959680
2019-02-13 20:00:00,3601.3993779166557955
2019-02-14 20:00:00,3594.2496157090359741
2019-02-15 20:00:00,3619.8836136181786253
2019-02-16 20:00:00,3629.6801908138610748
2019-02-17 20:00:00,3790.5017836231987084
2019-02-18 20:00:00,3933.0527414547445914
2019-02-19 20:00:00,3947.6628202879330815
2019-02-20 20:00:00,3948.1354268506302432
2019-02-21 20:00:00,3969.5719807353815720
2019-02-22 20:00:00,4012.3214270380478214
2019-02-23 20:00:00,4020.6218111388016267
2019-02-24 20:00:00,3829.2206340843995346
2019-02-25 20:00:00,3836.7143999238369251
2019-02-26 20:00:00,3841.7387737545602156
2019-02-27 20:00:00,3853.3931807202038343
2019-02-28 20:00:00,3850.8604214948369692
2019-03-01 20:00:00,3852.6531885517261827
2019-03-02 20:00:00,3846.5067859342336934
2019-03-03 20:00:00,3770.0752855877169779
2019-03-04 20:00:00,3805.5653947734481401
2019-03-05 20:00:00,3870.4140911488379291
2019-03-06 20:00:00,3897.5346250987739772
2019-03-07 20:00:00,3911.7655087630577794
2019-03-08 20:00:00,3936.8966056418522704
2019-03-09 20:00:00,3931.6064739662762610
2019-03-10 20:00:00,3913.7078165770877495
2019-03-11 20:00:00,3894.6573149186553588
2019-03-12 20:00:00,3893.7148506214081467
2019-03-13 20:00:00,3880.4493934945394491
2019-03-14 20:00:00,3914.3759979426378990
2019-03-15 20:00:00,4014.4270744804376553
2019-03-16 20:00:00,3996.5212879694229358
2019-03-17 20:00:00,4004.9245848501110935
2019-03-18 20:00:00,4017.4688046288711707
2019-03-19 20:00:00,4044.0253677982233029
2019-03-20 20:00:00,4038.4596888234205406
2019-03-21 20:00:00,4002.0268150853261633
2019-03-22 20:00:00,4011.8192878787970288
2019-03-23 20:00:00,4007.2919043542670992
2019-03-24 20:00:00,3994.6666335678399008
2019-03-25 20:00:00,3956.2031664290910029
2019-03-26 20:00:00,4026.5637027038454370
2019-03-27 20:00:00,4038.8224714441160258
2019-03-28 20:00:00,4081.1131181659901456
2019-03-29 20:00:00,4114.4430993694942299
2019-03-30 20:00:00,4124.3079735433767880
2019-03-31 20:00:00,4152.1009731140627759
2019-04-01 20:00:00,4661.1734558804283677
2019-04-02 20:00:00,5040.7790072863788035
2019-04-03 20:00:00,4980.1097969718292424
2019-04-04 20:00:00,4991.2469306872158103
2019-04-05 20:00:00,5059.7876169633376363
2019-04-06 20:00:00,5152.8761372203967681
2019-04-07 20:00:00,5249.1108836199311837
2019-04-08 20:00:00,5222.4841136993358564
2019-04-09 20:00:00,5274.7729297684069308
2019-04-10 20:00:00,5136.8077555531505605
2019-04-11 20:00:00,5054.3036316432362195
2019-04-12 20:00:00,5092.8015099593050856
2019-04-13 20:00:00,5097.3936198161940558
2019-04-14 20:00:00,5137.5690969911858515
2019-04-15 20:00:00,5112.3748783261708573
2019-04-16 20:00:00,5230.4190442634072110
2019-04-17 20:00:00,5275.7727081902595246
2019-04-18 20:00:00,5277.4429670019020826
2019-04-19 20:00:00,5326.3319279810081395
2019-04-20 20:00:00,5302.1348159015757776
2019-04-21 20:00:00,5330.2213192529925193
2019-04-22 20:00:00,5546.4491242577181655
2019-04-23 20:00:00,5498.1443556655662205
2019-04-24 20:00:00,5434.7935855399441641
2019-04-25 20:00:00,5245.0196761250467435
2019-04-26 20:00:00,5267.8588084362109304
2019-04-27 20:00:00,5280.7890374631914954
2019-04-28 20:00:00,5184.3719038463178148
2019-04-29 20:00:00,5222.7384130514299600
2019-04-30 20:00:00,5318.0156513235831634
